district,name,state,chamber,party
District 9,Bill Pascrell,New_Jersey,house,
District 9,Eric Fisher,New_Jersey,house,
District 9,Claudio Belusic,New_Jersey,house,
District 10,Donald Payne Jr.,New_Jersey,house,
District 10,Agha Khan,New_Jersey,house,
District 10,Scott DiRoma,New_Jersey,house,
District 10,Cynthia Johnson,New_Jersey,house,
District 10,Joan Miller,New_Jersey,house,
District 11,Mikie Sherrill,New_Jersey,house,
District 11,Jay Webber,New_Jersey,house,
District 11,Ryan Martinez,New_Jersey,house,
District 11,Robert Crook,New_Jersey,house,
District 12,Bonnie Watson Coleman,New_Jersey,house,
District 12,Daryl Kipnis,New_Jersey,house,
District 1,Debra Haaland,New_Mexico,house,
District 1,Janice Arnold-Jones,New_Mexico,house,
District 1,Lloyd Princeton,New_Mexico,house,
District 2,Xochitl Torres Small,New_Mexico,house,
District 2,Yvette Herrell,New_Mexico,house,
District 3,Ben Ray Lujan,New_Mexico,house,
District 3,Jerald Steve McFall,New_Mexico,house,
District 3,Christopher Manning,New_Mexico,house,
District 1,Lee Zeldin,New_York,house,
District 1,Perry Gershon,New_York,house,
District 1,Kate Browning,New_York,house,
District 1,Patricia Latzman,New_York,house,
District 2,Peter King,New_York,house,
District 2,Liuba Grechen Shirley,New_York,house,
District 3,Tom Suozzi,New_York,house,
District 3,Dan DeBono,New_York,house,
District 3,Josh Sauberman,New_York,house,
District 3,Costa Michailidis,New_York,house,
District 4,Kathleen Rice,New_York,house,
District 4,Ameer Benno,New_York,house,
District 6,Grace Meng,New_York,house,
District 6,Tom Hillgardner,New_York,house,
District 7,Nydia Velazquez,New_York,house,
District 7,Joseph Lieberman,New_York,house,
District 7,Jeffrey Kurzon,New_York,house,
District 8,Hakeem Jeffries,New_York,house,
District 8,Ernest Johnson,New_York,house,
District 8,Jessica White,New_York,house,
District 9,Yvette D. Clarke,New_York,house,
District 9,Lutchi Gayot,New_York,house,
District 9,Joel Anabilah-Azumah,New_York,house,
District 10,Jerrold Nadler,New_York,house,
District 10,Naomi Levin,New_York,house,
District 11,Daniel Donovan,New_York,house,
District 11,Max Rose,New_York,house,
District 11,Henry Bardel,New_York,house,
District 12,Carolyn B. Maloney,New_York,house,
District 12,Eliot Rabin,New_York,house,
District 12,Scott Hutchins,New_York,house,
District 13,Adriano Espaillat,New_York,house,
District 13,Jineea Butler,New_York,house,
District 14,Joseph Crowley,New_York,house,
District 14,Alexandria Ocasio-Cortez,New_York,house,
District 14,Anthony Pappas,New_York,house,
District 14,Elizabeth Perri,New_York,house,
District 14,James Dillon,New_York,house,
District 15,José Serrano,New_York,house,
District 15,Jason Gonzalez,New_York,house,
District 16,Eliot Engel,New_York,house,
District 17,Nita Lowey,New_York,house,
District 17,Joseph Ciardullo,New_York,house,
District 18,Sean Maloney,New_York,house,
District 18,James O'Donnell,New_York,house,
District 18,Alex Fernandez,New_York,house,
District 19,John Faso,New_York,house,
District 19,Antonio Delgado,New_York,house,
District 19,Steven Greenfield,New_York,house,
District 19,Diane Neal,New_York,house,
District 19,Chad McEvoy,New_York,house,
District 19,Bob Cohen,New_York,house,
District 19,Luisa Parker,New_York,house,
District 19,Victoria Alexander,New_York,house,
District 19,Dal LaMagna,New_York,house,
District 20,Paul Tonko,New_York,house,
District 20,Joe Vitollo,New_York,house,
District 21,Elise Stefanik,New_York,house,
District 21,Tedra Cobb,New_York,house,
District 21,Lynn Kahn,New_York,house,
District 21,Dylan Ratigan,New_York,house,
District 21,Katie Wilson,New_York,house,
District 21,Steve Krieg,New_York,house,
District 21,Chris Schmidt,New_York,house,
District 22,Claudia Tenney,New_York,house,
District 22,Anthony Brindisi,New_York,house,
District 23,Tom Reed,New_York,house,
District 23,Tracy Mitrano,New_York,house,
District 23,John Hertzler,New_York,house,
District 23,James Clasby,New_York,house,
District 24,John Katko,New_York,house,
District 24,Dana Balter,New_York,house,
District 24,Bill Bass,New_York,house,
District 25,Joseph Morelle,New_York,house,
District 25,James Maxwell,New_York,house,
District 26,Brian Higgins,New_York,house,
District 26,Renee Zeno,New_York,house,
District 27,Chris Collins,New_York,house,
District 27,Nate McMurray,New_York,house,
District 27,Larry Piegza,New_York,house,
District 27,Michael Zak,New_York,house,
District 3,Walter Jones,North_Carolina,house,
District 1,G.K. Butterfield,North_Carolina,house,
District 1,Roger Allison,North_Carolina,house,
District 2,George Holding,North_Carolina,house,
District 2,Linda Coleman,North_Carolina,house,
District 2,Jeff Matemu,North_Carolina,house,
District 3,Phil Law,North_Carolina,house,
District 3,Scott Dacey,North_Carolina,house,
District 4,David Price,North_Carolina,house,
District 4,Steve Von Loor,North_Carolina,house,
District 4,Barbara Howe,North_Carolina,house,
District 5,Virginia Foxx,North_Carolina,house,
District 5,Denise Adams,North_Carolina,house,
District 6,Mark Walker,North_Carolina,house,
District 6,Ryan Watts,North_Carolina,house,
District 7,David Rouzer,North_Carolina,house,
District 7,Kyle Horton,North_Carolina,house,
District 7,David Fallin,North_Carolina,house,
District 8,Richard Hudson,North_Carolina,house,
District 8,Frank McNeill,North_Carolina,house,
District 9,Dan McCready,North_Carolina,house,
District 9,Mark Harris,North_Carolina,house,
District 9,Jeff Scott,North_Carolina,house,
District 10,Patrick McHenry,North_Carolina,house,
District 10,David Wilson Brown,North_Carolina,house,
District 11,Mark Meadows,North_Carolina,house,
District 11,Phillip Price,North_Carolina,house,
District 11,Clifton Ingram Jr.,North_Carolina,house,
District 12,Alma Adams,North_Carolina,house,
District 12,Paul Wright,North_Carolina,house,
District 13,Ted Budd,North_Carolina,house,
District 13,Kathy Manning,North_Carolina,house,
District 13,Tom Bailey,North_Carolina,house,
District 13,Robert Corriher,North_Carolina,house,
,Mac Schneider,North_Dakota,house,
,Kelly Armstrong,North_Dakota,house,
,Charles Tuttle,North_Dakota,house,
District 1,Steve Chabot,Ohio,house,
District 1,Aftab Pureval,Ohio,house,
District 1,Dirk Kubala,Ohio,house,
District 1,Mike Goldschmidt,Ohio,house,
District 1,Kiumars Kiani,Ohio,house,
District 2,Brad Wenstrup,Ohio,house,
District 2,Jill Schiller,Ohio,house,
District 2,James Condit Jr.,Ohio,house,
District 2,Steve Myers,Ohio,house,
District 2,David Baker,Ohio,house,
District 3,Joyce Beatty,Ohio,house,
District 3,Jim Burgess,Ohio,house,
District 3,Millie Milam,Ohio,house,
District 4,Jim Jordan,Ohio,house,
District 4,Janet Garrett,Ohio,house,
District 4,"Norbert Dennerll, Jr.",Ohio,house,
District 5,Bob Latta,Ohio,house,
District 5,John Michael Galbraith,Ohio,house,
District 5,Don Kissick,Ohio,house,
District 6,Bill Johnson,Ohio,house,
District 6,Shawna Roberts,Ohio,house,
District 7,Bob Gibbs,Ohio,house,
District 7,Ken Harbaugh,Ohio,house,
District 8,Warren Davidson,Ohio,house,
District 8,Vanessa Enoch,Ohio,house,
District 8,Stephen D. Shaw,Ohio,house,
District 9,Marcy Kaptur,Ohio,house,
District 9,Steven Kraus,Ohio,house,
District 9,McKenzie Levindofske,Ohio,house,
District 10,Michael Turner,Ohio,house,
District 10,Theresa Gasper,Ohio,house,
District 10,David Harlow,Ohio,house,
District 11,Marcia Fudge,Ohio,house,
District 11,Beverly Goldstein,Ohio,house,
District 11,James Jerome Bell,Ohio,house,
District 12,Troy Balderson,Ohio,house,
District 12,Danny O'Connor,Ohio,house,
District 12,Joe Manchik,Ohio,house,
District 12,Jonathan Veley,Ohio,house,
District 12,Matthew Brendan O&#39;Connor,Ohio,house,
District 12,Marc Fagin,Ohio,house,
District 13,Tim Ryan,Ohio,house,
District 13,Christopher DePizzo,Ohio,house,
District 14,David Joyce,Ohio,house,
District 14,Betsy Rader,Ohio,house,
District 14,David Macko,Ohio,house,
District 15,Steve Stivers,Ohio,house,
District 15,Rick Neal,Ohio,house,
District 15,Johnathan Miller Jr.,Ohio,house,
District 16,Susan Moran Palmer,Ohio,house,
District 16,Anthony Gonzalez,Ohio,house,
District 1,Tim Gilpin,Oklahoma,house,
District 1,Kevin Hern,Oklahoma,house,
District 2,Markwayne Mullin,Oklahoma,house,
District 2,Jason Nichols,Oklahoma,house,
District 2,Richard Castaldo,Oklahoma,house,
District 2,John Foreman,Oklahoma,house,
District 3,Frank Lucas,Oklahoma,house,
District 3,Frankie Robbins,Oklahoma,house,
District 4,Tom Cole,Oklahoma,house,
District 4,Mary Brannon,Oklahoma,house,
District 4,Ruby Peters,Oklahoma,house,
District 5,Steve Russell,Oklahoma,house,
District 5,Kendra Horn,Oklahoma,house,
District 1,Suzanne Bonamici,Oregon,house,
District 1,John Verbeek,Oregon,house,
District 1,Drew Layda,Oregon,house,
District 2,Greg Walden,Oregon,house,
District 2,Jamie McLeod-Skinner,Oregon,house,
District 2,Mark Roberts,Oregon,house,
District 3,Earl Blumenauer,Oregon,house,
District 3,Michael P. Marsh,Oregon,house,
District 3,Marc Koller,Oregon,house,
District 3,Gary Dye,Oregon,house,
District 4,Peter DeFazio,Oregon,house,
District 4,Art Robinson,Oregon,house,
District 4,Richard Jacobson,Oregon,house,
District 4,Michael Beilstein,Oregon,house,
District 5,Kurt Schrader,Oregon,house,
District 5,Mark Callahan,Oregon,house,
District 5,Dan Souza,Oregon,house,
District 5,Marvin Sandnes,Oregon,house,
District 1,Brian Fitzpatrick,Pennsylvania,house,
District 1,Scott Wallace,Pennsylvania,house,
District 1,Steve Scheetz,Pennsylvania,house,
District 2,Brendan Boyle,Pennsylvania,house,
District 2,David Torres,Pennsylvania,house,
District 3,Dwight Evans,Pennsylvania,house,
District 3,Bryan Leib,Pennsylvania,house,
District 4,Madeleine Dean,Pennsylvania,house,
District 4,Dan David,Pennsylvania,house,
District 5,Mary Gay Scanlon,Pennsylvania,house,
District 5,Pearl Kim,Pennsylvania,house,
District 6,Chrissy Houlahan,Pennsylvania,house,
District 6,Greg McCauley,Pennsylvania,house,
District 7,Susan Wild,Pennsylvania,house,
District 7,Marty Nothstein,Pennsylvania,house,
District 7,Tim Silfies,Pennsylvania,house,
District 8,Matt Cartwright,Pennsylvania,house,
District 8,John Chrin,Pennsylvania,house,
District 9,Denny Wolff,Pennsylvania,house,
District 9,Dan Meuser,Pennsylvania,house,
District 10,George Scott,Pennsylvania,house,
District 10,Scott Perry,Pennsylvania,house,
District 11,Lloyd Smucker,Pennsylvania,house,
District 11,Jessica King,Pennsylvania,house,
District 12,Marc Friedenberg,Pennsylvania,house,
District 12,Tom Marino,Pennsylvania,house,
District 13,Brent Ottaway,Pennsylvania,house,
District 13,John Joyce,Pennsylvania,house,
District 14,Bibiana Boerio,Pennsylvania,house,
District 14,Guy Reschenthaler,Pennsylvania,house,
District 15,Glenn Thompson,Pennsylvania,house,
District 15,Susan Boser,Pennsylvania,house,
District 16,Mike Kelly,Pennsylvania,house,
District 16,Ronald DiNicola,Pennsylvania,house,
District 16,Ebert Beeman,Pennsylvania,house,
District 17,Conor Lamb,Pennsylvania,house,
District 17,Keith Rothfus,Pennsylvania,house,
District 18,Michael Doyle,Pennsylvania,house,
District 1,David N. Cicilline,Rhode_Island,house,
District 1,Patrick Donovan,Rhode_Island,house,
District 1,Daniel Guilmette,Rhode_Island,house,
District 2,Jim Langevin,Rhode_Island,house,
District 2,Salvatore Caiozzo,Rhode_Island,house,
District 1,Joe Cunningham,South_Carolina,house,
District 1,Katie Arrington,South_Carolina,house,
District 2,Joe Wilson,South_Carolina,house,
District 2,Sean Carrigan,South_Carolina,house,
District 2,Sonny Narang,South_Carolina,house,
District 3,Jeff Duncan,South_Carolina,house,
District 3,Mary Geren,South_Carolina,house,
District 3,Dave Moore,South_Carolina,house,
District 3,John Bednar,South_Carolina,house,
District 4,Brandon Brown,South_Carolina,house,
District 4,William Timmons,South_Carolina,house,
District 4,Guy Furay,South_Carolina,house,
District 5,Ralph Norman,South_Carolina,house,
District 5,Archie Parnell,South_Carolina,house,
District 5,Michael Chandler,South_Carolina,house,
District 6,James Clyburn,South_Carolina,house,
District 6,Gerhard Gressmann,South_Carolina,house,
District 6,Bryan Pugh,South_Carolina,house,
District 7,Tom Rice,South_Carolina,house,
District 7,Robert Williams,South_Carolina,house,
,Timothy Bjorkman,South_Dakota,house,
,Dusty Johnson,South_Dakota,house,
,George Hendrickson,South_Dakota,house,
,Ron Wieczorek,South_Dakota,house,
,Phil Roe,Tennessee,house,
,Marty Olsen,Tennessee,house,
,Michael Salyer,Tennessee,house,
District 1,"Louis B. ""Louie"" Gohmert Jr.",Texas,house,
District 1,Shirley McKellar,Texas,house,
District 2,Todd Litton,Texas,house,
District 2,Daniel Crenshaw,Texas,house,
District 2,Patrick Gunnels,Texas,house,
District 2,Scott Cubbler,Texas,house,
District 3,Lorie Burch,Texas,house,
District 3,Van Taylor,Texas,house,
District 3,Christopher Claytor,Texas,house,
District 3,Jeff Simmons,Texas,house,
District 4,John Ratcliffe,Texas,house,
District 4,Catherine Krantz,Texas,house,
District 4,Ken Ashby,Texas,house,
District 5,Dan Wood,Texas,house,
District 5,Lance Gooden,Texas,house,
District 5,Phil Gray,Texas,house,
District 6,Jana Lynne Sanchez,Texas,house,
District 6,Ronald Wright,Texas,house,
District 6,Jason Harber,Texas,house,
District 7,John Culberson,Texas,house,
District 7,Lizzie Pannill Fletcher,Texas,house,
District 7,Ronald Kimmons,Texas,house,
District 8,Kevin Brady,Texas,house,
District 8,Steven David,Texas,house,
District 8,Chris Duncan,Texas,house,
District 9,Al Green,Texas,house,
District 9,Phil Kurtz,Texas,house,
District 9,Benjamin Hernandez,Texas,house,
District 9,Kesha Rogers,Texas,house,
District 10,Michael McCaul,Texas,house,
District 10,Mike Siegel,Texas,house,
District 10,Mike Ryan,Texas,house,
District 11,Mike Conaway,Texas,house,
District 11,Jennie Lou Leeder,Texas,house,
District 11,Rhett Rosenquest Smith,Texas,house,
District 12,Kay Granger,Texas,house,
District 12,Vanessa Adia,Texas,house,
District 12,Jacob Leddy,Texas,house,
District 13,Mac Thornberry,Texas,house,
District 13,Greg Sagan,Texas,house,
District 13,Calvin DeWeese,Texas,house,
District 14,Randy Weber,Texas,house,
District 14,Adrienne Bell,Texas,house,
District 14,Don Conley III,Texas,house,
District 15,Vicente González,Texas,house,
District 15,Tim Westley,Texas,house,
District 15,Anthony Cristo,Texas,house,
District 16,Veronica Escobar,Texas,house,
District 16,Rick Seeberger,Texas,house,
District 16,Ben Mendoza,Texas,house,
District 16,Samuel Williams Jr.,Texas,house,
District 17,Bill Flores,Texas,house,
District 17,Rick Kennedy,Texas,house,
District 17,Peter Churchman,Texas,house,
District 18,Sheila Jackson Lee,Texas,house,
District 18,Ava Pate,Texas,house,
District 18,Luke Spencer,Texas,house,
District 18,Vince Duncan,Texas,house,
District 19,Jodey Arrington,Texas,house,
District 19,Miguel Levario,Texas,house,
District 20,Joaquin Castro,Texas,house,
District 20,Jeffrey Blunt,Texas,house,
District 21,Joseph Kopser,Texas,house,
District 21,Chip Roy,Texas,house,
District 21,Lee Santos,Texas,house,
District 22,"Peter G. ""Pete"" Olson",Texas,house,
District 22,Sri Preston Kulkarni,Texas,house,
District 22,John McElligott,Texas,house,
District 22,Sara Kellen Sweny,Texas,house,
District 23,"William ""Will"" Hurd",Texas,house,
District 23,Gina Ortiz Jones,Texas,house,
District 23,Ruben Corvalan,Texas,house,
District 24,Kenny Marchant,Texas,house,
District 24,Jan McDowell,Texas,house,
District 24,Mike Kolls,Texas,house,
District 25,Roger Williams,Texas,house,
District 25,Julie Oliver,Texas,house,
District 25,Desarae Lindsey,Texas,house,
District 25,Martin Luecke,Texas,house,
District 26,Michael C. Burgess,Texas,house,
District 26,Linsey Fagan,Texas,house,
District 26,Mark Boler,Texas,house,
District 27,Michael Cloud,Texas,house,
District 27,Eric Holguin,Texas,house,
District 27,Daniel Tinus,Texas,house,
District 27,James Duerr,Texas,house,
District 28,Henry Cuellar,Texas,house,
District 28,Arthur Thomas IV,Texas,house,
District 29,Sylvia Garcia,Texas,house,
District 29,Phillip Arnold Aronoff,Texas,house,
District 29,Cullen Burns,Texas,house,
District 29,Johnathan Garza,Texas,house,
District 30,Eddie Bernice Johnson,Texas,house,
District 30,Shawn Jones,Texas,house,
District 31,John Carter,Texas,house,
District 31,Mary Jennings &quot;M.J.&quot; Hegar,Texas,house,
District 31,Jason Hope,Texas,house,
District 32,Pete Sessions,Texas,house,
District 32,Colin Allred,Texas,house,
District 32,Melina Baker,Texas,house,
District 33,Marc Veasey,Texas,house,
District 33,Willie Billups,Texas,house,
District 33,Jason Reeves,Texas,house,
District 34,Filemon Vela,Texas,house,
District 34,Rey Gonzalez,Texas,house,
District 35,Lloyd Doggett,Texas,house,
District 35,David Smalling,Texas,house,
District 35,Clark Patterson,Texas,house,
District 36,Brian Babin,Texas,house,
District 36,Dayna Steele,Texas,house,
District 1,Rob Bishop,Utah,house,
District 1,Lee Castillo,Utah,house,
District 1,Adam Davis,Utah,house,
District 1,Eric Eliason,Utah,house,
District 2,Chris Stewart,Utah,house,
District 2,Shireen Ghorbani,Utah,house,
District 2,Jeffrey Whipple,Utah,house,
District 2,Jan Garbett,Utah,house,
District 3,John Curtis,Utah,house,
District 3,James Singer,Utah,house,
District 3,Tim Zeidner,Utah,house,
District 3,Gregory Duerden,Utah,house,
District 3,Melanie McCoard,Utah,house,
District 4,Mia Love,Utah,house,
District 4,Ben McAdams,Utah,house,
,Peter Welch,Vermont,house,
,Anya Tynio,Vermont,house,
,Laura Potter,Vermont,house,
,Cris Ericson,Vermont,house,
,H. Brooke Paige,Vermont,house,
District 1,Rob Wittman,Virginia,house,
District 1,Vangie Williams,Virginia,house,
District 2,Scott Taylor,Virginia,house,
District 2,Elaine Luria,Virginia,house,
District 2,Shaun Brown,Virginia,house,
District 3,Bobby Scott,Virginia,house,
District 4,Aston Donald McEachin,Virginia,house,
District 4,Ryan McAdams,Virginia,house,
District 4,Pete Wells,Virginia,house,
District 5,Leslie Cockburn,Virginia,house,
District 5,Denver Riggleman,Virginia,house,
District 6,Jennifer Lewis,Virginia,house,
District 6,Ben Cline,Virginia,house,
District 7,David Brat,Virginia,house,
District 7,Abigail Spanberger,Virginia,house,
District 7,Joe Walton,Virginia,house,
District 8,Don Beyer,Virginia,house,
District 8,Thomas Oh,Virginia,house,
District 9,Morgan Griffith,Virginia,house,
District 9,Anthony Flaccavento,Virginia,house,
District 10,Barbara Comstock,Virginia,house,
District 10,Jennifer Wexton,Virginia,house,
District 10,Nathan Larson,Virginia,house,
District 11,Gerald Connolly,Virginia,house,
District 11,Jeff Dove,Virginia,house,
District 11,Stevan Porter,Virginia,house,
District 1,Suzan DelBene,Washington,house,
District 1,Jeffrey Beeler,Washington,house,
District 2,Rick Larsen,Washington,house,
District 2,Brian Luke,Washington,house,
District 3,Jaime Herrera Beutler,Washington,house,
District 3,Carolyn Long,Washington,house,
District 4,Dan Newhouse,Washington,house,
District 4,Christine Brown,Washington,house,
District 5,Cathy McMorris Rodgers,Washington,house,
District 5,Lisa Brown,Washington,house,
District 6,Derek Kilmer,Washington,house,
District 6,Douglas Dightman,Washington,house,
District 7,Pramila Jayapal,Washington,house,
District 7,Craig Keller,Washington,house,
District 8,Kim Schrier,Washington,house,
District 8,Dino Rossi,Washington,house,
District 9,D. Adam Smith,Washington,house,
District 9,Sarah Smith,Washington,house,
District 10,Denny Heck,Washington,house,
District 10,Joseph Brumbles,Washington,house,
District 1,David McKinley,West_Virginia,house,
District 1,Kendra Fershee,West_Virginia,house,
District 2,Alexander Mooney,West_Virginia,house,
District 2,Talley Sergent,West_Virginia,house,
District 2,Daniel Lutz,West_Virginia,house,
District 3,Richard Ojeda,West_Virginia,house,
District 3,Carol Miller,West_Virginia,house,
District 4,Gwen Moore,Wisconsin,house,
District 4,Tim Rogers,Wisconsin,house,
District 4,Robert Raymond,Wisconsin,house,
,Liz Cheney,Wyoming,house,
,Greg Hunter,Wyoming,house,
,Daniel Clyde Cummings,Wyoming,house,
,Richard Brubaker,Wyoming,house,
,Dianne Feinstein,,senate,D
,Kevin de León,,senate,D
,Chris Murphy,,senate,D
,Matthew Corey,,senate,
,Mazie Hirono,,senate,D
,Roger Wicker,,senate,R
,Tina Smith,,senate,D
,Karin Housley,,senate,
,Angus King,,senate,I
,Eric Brakey,,senate,R
,Ben Cardin,,senate,D
,Tony Campbell,,senate,
,Deb Fischer,,senate,R
,Jane Raybould,,senate,D
,Martin Heinrich,,senate,D
,Mick Rich,,senate,R
,Gary Johnson,,senate,Libertarian
,Bob Menendez,,senate,D
,Bob Hugin,,senate,R
,Mitt Romney,,senate,R
,Jenny Wilson,,senate,
,Sheldon Whitehouse,,senate,D
,Bob Flanders,,senate,
,Tim Kaine,,senate,D
,Corey Stewart,,senate,R
,Maria Cantwell,,senate,D
,Susan Hutchison,,senate,
,John Barrasso,,senate,R
,Gary Trauner,,senate,
,Kirsten Gillibrand,,senate,D
,Chele Chiavacci Farley,,senate,
,Elizabeth Warren,,senate,D
,Amy Klobuchar,,senate,D
,Jim Newberger,,senate,
,Bernie Sanders,,senate,I
,Tom Carper,,senate,D
,Kerri Harris,,senate,
,Deb Stabenow,,senate,D
,John James,,senate,
,Cindy Hyde-Smith,,senate,R
,Mike Espy,,senate,D
,Chris McDaniel,,senate,
,Jon Tester,,senate,D
,Matt Rosendale,,senate,
,Sherrod Brown,,senate,D
,Jim Renacci,,senate,
,"Bob Casey, Jr.",,senate,D
,Lou Barletta,,senate,
,Phil Bredesen,,senate,D
,Marsha Blackburn,,senate,R
,Tammy Baldwin,,senate,D
,Leah Vukmir,,senate,
,Kyrsten Sinema,,senate,D
,Martha McSally,,senate,
,Kelli Ward,,senate,
,Joe Arpaio,,senate,
,Joe Donnelly,,senate,D
,Mike Braun,,senate,
,Bill Nelson,,senate,D
,Rick Scott,,senate,
,Claire McCaskill,,senate,D
,Josh Hawley,,senate,
,Dean Heller,,senate,R
,Jacky Rosen,,senate,
,Heidi Heitkamp,,senate,D
,Kevin Cramer,,senate,
,Joe Manchin III,,senate,D
,Patrick Morrisey,,senate,R
,Ted Cruz,,senate,R
,Beto O'Rourke,,senate,D
