district,name,state,chamber,party
District 1,Miguel Lopez,Colorado,house,
District 2,Joe Neguse,Colorado,house,
District 2,Peter Yu,Colorado,house,
District 2,Roger Barris,Colorado,house,
District 2,Nick Thomas,Colorado,house,
District 2,Kevin Alumbaugh,Colorado,house,
District 3,Scott Tipton,Colorado,house,
District 3,Diane Mitsch Bush,Colorado,house,
District 3,Gaylon Kent,Colorado,house,
District 3,Mary Malarsie,Colorado,house,
District 3,Allen Tompkins,Colorado,house,
District 3,Bruce Lohmiller,Colorado,house,
District 3,Gary Swing,Colorado,house,
District 3,Richard Tetu,Colorado,house,
District 4,Ken Buck,Colorado,house,
District 4,Karen McCormick,Colorado,house,
District 4,Richard Lyons Weil,Colorado,house,
District 4,John Vigil,Colorado,house,
District 5,Doug Lamborn,Colorado,house,
District 5,Stephany Rose Spaulding,Colorado,house,
District 5,Douglas Randall,Colorado,house,
District 5,Lori Furstenberg,Colorado,house,
District 5,John Croom,Colorado,house,
District 6,Mike Coffman,Colorado,house,
District 6,Jason Crow,Colorado,house,
District 6,Kat Martin,Colorado,house,
District 6,Dan Chapin,Colorado,house,
District 6,Christopher Allen,Colorado,house,
District 7,Ed Perlmutter,Colorado,house,
District 7,Mark Barrington,Colorado,house,
District 7,Jennifer Nackerud,Colorado,house,
District 7,Nathan Clay,Colorado,house,
District 7,Marcus France,Colorado,house,
District 7,Steve Zorn,Colorado,house,
District 7,Michael Haughey,Colorado,house,
District 1,John Larson,Connecticut,house,
District 1,Jennifer Nye,Connecticut,house,
District 1,Tom McCormick,Connecticut,house,
District 2,Joe Courtney,Connecticut,house,
District 2,Dan Postemski,Connecticut,house,
District 2,Michelle Louise Bicking,Connecticut,house,
District 2,Daniel Reale,Connecticut,house,
District 3,Rosa L. DeLauro,Connecticut,house,
District 3,Angel Cadena,Connecticut,house,
District 4,Jim Himes,Connecticut,house,
District 4,Harry Arora,Connecticut,house,
District 5,Jahana Hayes,Connecticut,house,
District 5,Manny Santos,Connecticut,house,
District 5,John Pistone,Connecticut,house,
,Eleanor Holmes Norton,D.C.,house,
,Nelson Rimensnyder,D.C.,house,
,Natale Stracuzzi ,D.C.,house,
,Bruce Majors,D.C.,house,
,John C. Cheeks,D.C.,house,
,Lisa Blunt Rochester,Delaware,house,
,Scott Walker,Delaware,house,
,Andrew Webb,Delaware,house,
,Marvin Davis,Delaware,house,
,Paul Johnston,Delaware,house,
District 2,Neal Dunn,Florida,house,
District 2,Bob Rackleff,Florida,house,
District 3,Ted Yoho,Florida,house,
District 3,Yvonne Hayes Hinson,Florida,house,
District 4,John Rutherford,Florida,house,
District 4,Ges Selmont,Florida,house,
